Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
16914_Medieval_StBenetSherehog_ONE94 	5892153	73945	53462	51965	51965	342	3744	83	180	51	60	445	1110	462	1687	18	17	10	19	19	121	2878	774	22	123	11	39525	21	243
16915_Medieval_StBenetSherehog_ONE94 	3478894	20831	13569	13351	13351	64	590	30	43	18	14	241	3927	1246	349	3	4	4	6	3	70	547	267	6	21	5	5841	7	45
16916_Medieval_StBenetSherehog_ONE94 	2784190	24493	18892	18573	18573	48	564	26	35	14	8	318	1176	170	480	2	2	1	4	1	63	905	46	6	71	1	14589	3	40
16917_Medieval_StBenetSherehog_ONE94 	1310698	1282	749	727	727	0	3	5	1	4	0	164	5	6	4	0	2	0	2	1	16	346	68	2	0	0	94	4	0
16918_Medieval_StBenetSherehog_ONE94 	6024257	432761	289555	275678	275678	1302	13761	286	894	427	164	753	160880	64176	7042	42	38	7	15	9	1033	1424	1408	57	121	5	20960	138	736
16919_PostMedieval_ChelseaOldChurch_OCU00 	1695527	2698	1733	1696	1696	1	16	9	2	2	3	186	42	5	27	2	0	0	2	0	25	374	214	1	4	3	769	0	9
16920_PostMedieval_ChelseaOldChurch_OCU00 	2939551	72712	44841	44132	44132	625	7363	129	461	274	129	210	16686	4085	1192	4	7	1	13	10	119	210	24	12	30	8	12091	23	426
16921_PostMedieval_ChelseaOldChurch_OCU00 	2891524	3526	2003	1958	1958	11	61	4	7	8	4	220	96	29	16	8	2	4	4	10	85	997	66	6	3	8	294	7	8
16922_PostMedieval_ChelseaOldChurch_OCU00 	1458234	5634	4218	3617	3617	3	1	1	0	4	0	99	9	0	0	1	0	0	0	2	6	3461	3	1	1	0	23	2	0
16923_PostMedieval_ChelseaOldChurch_OCU00 	2666486	2690	1449	1379	1379	0	3	0	1	3	1	735	3	4	5	3	1	0	12	6	13	472	25	3	1	3	79	4	2
16925_PostMedieval_ChelseaOldChurch_OCU00 	1761385	4994	3671	3201	3201	2	1	2	2	2	1	116	2	2	2	1	2	1	1	4	2	3016	5	1	2	0	32	1	1
16926_PostMedieval_ChelseaOldChurch_OCU00 	2692650	10972	7606	7444	7444	34	487	9	17	13	10	410	1191	211	183	3	2	2	7	3	55	732	127	7	7	1	3904	6	23
16927_PostMedieval_ChelseaOldChurch_OCU00 	2179503	6933	4842	4732	4732	15	70	31	9	4	1	274	109	38	114	3	2	1	10	2	21	1162	50	2	6	4	2793	2	9
16928_Post_Medieval_ChelseaOldChurch_OCU00 	107493	192	88	88	88	1	2	0	0	2	0	41	1	0	1	1	0	0	0	0	0	35	0	0	0	0	4	0	0
16929_PostMedieval_ChelseaOldChurch_OCU00 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16930_Medieval_StMaryGraces_MIN86 	3344898	7204	4470	4353	4353	2	6	10	2	2	3	461	30	3	10	12	2	4	7	11	183	3303	220	1	1	6	66	5	3
16931_Medieval_StMaryGraces_MIN86 	1527610	9027	5515	5396	5396	6	23	4	2	1	1	112	18	1	14	1	3	1	5	3	307	3922	422	4	0	2	531	4	9
16932_Medieval_StMaryGraces_MIN86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16933_Medieval_StMaryGraces_MIN86 	2359474	3276	2114	2007	2007	3	0	3	2	4	1	488	9	1	0	0	2	2	2	3	4	1397	34	4	1	3	39	2	3
16935_Medieval_MertonPriory_MPY86 	4462405	24243	18054	17709	17709	62	267	14	28	16	20	288	343	89	337	11	7	5	6	10	128	2413	1185	10	45	12	12360	6	47
16936_Medieval_MertonPriory_MPY86 	2435966	72910	56266	54756	54756	253	3036	48	103	26	38	365	2075	820	1301	23	6	2	3	7	171	1594	571	9	28	3	44098	21	155
16937_Medieval_StMaryGraces_MIN86 	2961316	36162	27812	27265	27265	120	1168	33	39	11	18	185	618	235	698	4	5	5	9	1	56	945	126	8	88	1	22804	13	75
16938_Medieval_StMaryGraces_MIN86 	1611434	1851	1067	1021	1021	1	4	3	2	2	1	105	1	1	1	2	1	0	2	0	61	783	19	1	1	0	25	2	3
16939_Medieval_StMaryGraces_MIN86 	13703524	18065	12336	10830	10830	7	16	10	7	12	8	2010	59	8	14	10	10	7	12	10	226	7480	500	12	5	9	362	28	8
16940_Medieval_StMaryGraces_MIN86 	1645441	1020	459	445	445	0	3	1	0	1	0	177	6	1	2	0	1	2	1	0	2	219	6	3	0	3	14	3	0
16941_Medieval_StMaryGraces_MIN86 	1474894	4211	2945	2744	2744	1	3	17	2	2	1	816	3	3	1	1	1	1	1	5	8	1854	10	1	0	3	9	0	1
16942_Medieval_StMaryGraces_MIN86 	4083987	90953	59774	58629	58629	350	4345	142	264	86	74	448	8442	2613	2556	7	11	3	12	10	252	615	475	20	64	10	37514	33	283
16943_Medieval_StMaryGraces_MIN86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16944_Medieval_StMaryGraces_MIN86 	1501866	3228	1874	1828	1828	1	3	4	3	5	2	236	12	8	26	5	6	1	2	5	33	958	25	1	4	0	483	2	3
16947_Medieval_StMaryGraces_MIN86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16948_Medieval_StMaryGraces_MIN86 	1369413	1120	508	493	493	3	3	1	1	2	1	142	5	1	2	1	1	0	6	1	5	269	10	5	1	5	27	1	0
16949_Medieval_StMaryGraces_MIN86 	1103280	1645	1054	1035	1035	3	12	0	0	0	1	248	0	3	9	5	2	1	2	1	32	629	21	0	0	0	61	1	4
16950_Medieval_StMaryGraces_MIN86 	1633386	2159	1225	1145	1145	0	2	6	1	2	2	361	6	1	4	1	0	2	3	2	4	722	5	1	1	1	17	1	0
16951_Medieval_GuildhallYard_GYE92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16952_Medieval_GuildhallYard_GYE92 	3127327	6799	4477	4230	4230	11	15	17	5	8	4	305	143	9	26	7	11	4	9	5	97	2636	137	7	4	7	745	10	8
16953_Medieval_GuildhallYard_GYE92 	1503549	19878	12362	12101	12101	37	302	12	38	12	13	68	9635	567	301	2	2	0	6	1	54	173	5	3	1	4	824	9	32
16954_Medieval_GuildhallYard_GYE92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16955_Medieval_GuildhallYard_GYE92 	2617726	100088	77858	75069	75069	227	2354	114	201	52	50	291	5722	2289	1903	6	9	1	7	2	193	619	1133	49	188	7	59387	15	250
16956_Medieval_GuildhallYard_GYE92 	2973597	34437	23728	23350	23350	66	896	25	37	22	15	289	6296	780	476	4	12	6	6	13	120	934	88	19	16	10	13171	9	40
16957_Medieval_GuildhallYard_GYE92 	2632615	7637	5497	5354	5354	11	51	7	4	7	1	107	881	101	117	1	9	0	5	7	32	134	20	3	7	6	3824	4	15
16958_Medieval_GuildhallYard_GYE92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16959_Medieval_GuildhallYard_GYE92 	1445734	23008	14694	14434	14434	28	383	11	22	7	4	75	8810	418	288	6	4	2	4	3	101	524	50	2	10	1	3645	6	30
16960_Medieval_GuildhallYard_GYE92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16961_PostMedieval_StBrides_SB79 	1553577	89557	50139	48532	48532	477	6736	77	394	118	87	144	35208	1927	837	3	5	6	13	8	118	139	8	21	10	15	1751	72	358
16962_Medieval_BermondseyAbbey_BA84 	1427276	7759	5682	5593	5593	28	198	5	21	7	5	68	105	60	157	4	1	0	1	3	29	116	65	1	13	3	4680	3	20
16963_Medieval_BermondseyAbbey_BA84 	2599048	20084	13285	13039	13039	54	313	13	34	22	7	261	4715	406	314	2	12	7	2	6	70	874	83	3	24	8	5758	8	43
16964_Medieval_BermondseyAbbey_BA84 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16965_Medieval_BermondseyAbbey_BA84 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16966_Medieval_BermondseyAbbey_BA84 	2008672	80364	50074	49089	49089	354	3909	106	230	76	71	268	24622	4175	1335	8	8	1	6	5	187	229	82	18	57	8	13000	66	268
16967_Medieval_BermondseyAbbey_BA84 	2150188	2582	1721	1699	1699	3	41	2	2	4	1	78	131	12	31	0	0	2	2	2	48	612	52	2	0	1	669	2	2
16968_Medieval_BermondseyAbbey_BA84 	2585774	21249	15548	15225	15225	17	129	24	15	33	3	289	829	110	366	7	2	0	5	7	74	816	159	7	26	10	12278	7	12
16969_Medieval_BermondseyAbbey_BA84 	4670066	6558	3614	3468	3468	6	13	26	8	3	5	477	17	10	10	7	5	7	8	16	72	2571	78	4	2	5	98	15	5
16970_Medieval_BermondseyAbbey_BA84 	1439851	2409	1606	1495	1495	2	1	2	1	4	2	117	0	0	1	3	0	2	0	1	1	1320	0	0	1	1	33	3	0
16971_Medieval_BermondseyAbbey_BA84 	3933126	17841	11586	11351	11351	48	329	41	41	21	17	256	620	139	316	13	15	7	23	17	40	608	123	14	27	16	8554	8	58
18499_Pictish1 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501_Pictish2 	2160540	1529	704	676	676	2	34	1	5	1	1	105	12	8	8	0	1	1	5	3	7	328	9	3	2	3	132	5	0
18502_Pictish3 	1317254	57778	41722	40091	40091	235	2223	215	166	70	54	189	868	385	2052	1	2	4	6	1	64	354	218	16	223	3	32473	7	262
18503_Pictish3 	2165070	24944	18672	18206	18206	48	356	57	15	11	15	274	250	343	301	12	1	1	3	2	498	1503	3381	5	43	3	11044	7	33
BreedonOnTheHill12855 	5732586	10867	4794	4667	4667	32	133	31	20	13	24	451	63	22	72	10	10	8	16	12	88	1917	199	15	9	17	1447	11	47
BreedonOnTheHill12857 	4176664	200194	138874	130438	130438	314	2755	94	182	80	79	416	3724	1019	3731	18	6	8	15	13	260	916	1188	23	231	12	115027	26	301
BreedonOnTheHill12858 	4975325	22572	13359	12845	12845	68	593	38	42	20	23	435	423	814	428	12	18	8	16	17	31	3764	206	11	21	19	5763	19	56
BreedonOnTheHill12859 	2020671	329	39	35	35	2	1	3	1	4	0	2	3	3	4	0	1	0	2	2	1	0	1	0	1	1	0	1	2
BreedonOnTheHill12861 	4871403	126085	78864	76926	76926	756	7313	169	1235	411	280	875	8595	9328	2083	81	20	15	19	16	132	2764	254	45	157	20	41718	34	606
BreedonOnTheHill12864 	4933996	7548	3631	3197	3197	20	14	82	19	28	14	394	58	31	20	18	30	23	21	27	27	2090	61	14	11	15	126	32	22
EBC116 	40621	14	8	7	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0
EBC117 	24782	14	9	9	9	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	1	0	2
EBC1_18 	122950	66	35	25	25	1	0	1	0	0	1	0	2	1	1	0	1	0	2	1	0	1	1	1	2	3	2	3	1
EBC1_19 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBC1_2 	31448	16	11	9	9	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	2	1
EBC1_20 	438170	86	27	22	22	0	0	1	1	2	0	0	0	3	2	0	1	0	0	0	2	0	0	2	1	4	2	1	0
EBC1_21 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBC1_22 	3209573	691	160	124	124	3	2	7	5	5	4	6	8	7	5	4	7	2	10	10	2	3	3	1	3	8	11	5	3
EBC1_24 	24364	27	18	5	5	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EBC1_25 	25436	5	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0
EBC1_26 	120899	28	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EBC1_27 	145570	29	18	16	16	1	1	1	1	0	0	0	2	1	2	0	1	0	0	0	0	0	0	1	1	2	1	1	0
EBC1_28 	22162	9	7	7	7	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1
EBC1_29 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBC1_3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBC1_30 	92374	270	249	21	21	1	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	1	3	3	1	2	2
EBC1_31 	91323	112	91	23	23	1	1	2	1	0	0	1	0	0	2	0	2	0	2	1	1	0	1	1	0	3	1	2	1
EBC1_32 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBC1_33 	1034436	234	40	38	38	0	0	4	1	1	2	2	2	0	2	1	6	3	2	2	2	0	1	2	1	0	3	1	0
EBC1_36 	61673	18	12	10	10	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
EBC15 	37047	24	13	10	10	0	2	0	2	0	0	0	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
EBC16 	106823	36	10	8	8	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0
EBC17 	16060	3	2	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eccles8352 	34467	412	216	142	142	2	71	1	0	1	0	1	3	54	1	0	1	1	0	0	0	0	1	0	0	1	3	0	1
HillOfRoseisle15916 	1901291	223	66	60	60	2	5	3	4	3	3	4	2	2	0	1	3	4	3	3	1	3	0	2	0	4	3	3	2
Hinxton16487 	4669391	14667	8573	8460	8460	46	665	11	38	14	13	207	387	517	247	2	5	4	3	5	60	983	1305	8	17	6	3858	7	52
Hinxton16488 	3706432	5435	2737	2612	2612	8	72	15	8	3	0	345	567	289	24	2	6	3	9	1	125	886	95	2	3	4	139	2	4
Hinxton16489 	4592105	347975	230198	214877	214877	1453	17352	273	1421	683	316	349	5778	7171	6750	11	12	7	23	17	270	1161	288	40	535	24	169603	10	1330
Hinxton16490 	4427224	4659	1986	1911	1911	6	8	40	3	9	3	311	23	4	7	4	8	6	9	8	125	1073	119	5	8	3	117	5	7
Hinxton16491 	3991457	298684	152000	146895	146895	2257	28627	193	5736	2530	924	408	87350	8200	2499	8	30	8	41	19	382	310	116	55	90	35	5408	65	1604
Hinxton16492 	4402963	17611	10062	9816	9816	47	372	14	27	9	14	450	232	133	154	5	5	2	16	10	267	4040	373	8	4	5	3600	5	24
Hinxton16493 	4659625	95749	53753	52860	52860	411	6779	48	220	59	65	242	24167	3770	1287	11	26	6	13	11	308	1610	785	11	25	12	12639	33	322
Hinxton16494 	4698677	11092	5887	5797	5797	29	156	20	16	9	11	359	28	19	36	10	8	11	12	11	134	2211	1877	12	6	7	787	9	19
Hinxton16495 	4198293	4537	1826	1784	1784	1	6	12	4	7	1	206	38	10	21	3	3	8	7	6	175	896	48	2	1	9	309	7	4
IsleOfLewis15931 	1309154	1896	778	711	711	4	4	8	10	5	9	99	10	5	7	3	5	5	6	7	14	362	55	6	3	11	58	6	9
IsleOfPamona15920 	5411195	100584	64233	62576	62576	208	2067	42	88	55	42	340	7914	4750	4187	13	12	8	22	14	502	3077	666	18	47	8	38249	8	239
