Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
StBrides12867 	6381941	217966	142717	137595	137595	745	4510	164	328	168	90	1502	5590	42563	4391	13	19	8	39	27	157	1382	1345	62	234	23	73732	78	425
StBrides12870 	4968125	32079	19595	19241	19241	27	279	39	11	14	10	607	367	115	418	15	7	6	23	6	519	5492	406	4	17	10	10824	5	20
StHelensOnWalls8873 	5343004	206698	119497	116084	116084	2087	30810	160	1114	239	296	785	30787	5870	2535	6	24	4	24	12	336	691	254	40	172	17	38207	112	1502
StHelensOnWalls8875 	3305289	246255	154203	149740	149740	1807	26445	159	948	162	314	344	43948	6549	2981	13	17	1	14	0	676	605	752	20	142	7	62443	50	1343
StHelensOnWallsy8874 	5433152	8616	4467	4072	4072	6	13	18	4	12	2	345	19	6	13	8	3	6	1	6	12	3454	33	6	3	9	85	5	3
StNiniansIsle15925 	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StNiniansIsle15927 	8074224	28898	17785	17197	17197	15	114	54	11	33	7	692	1045	217	109	25	12	2	25	8	760	2294	9278	8	12	9	2434	19	14
StNiniansIsle15928 	3801027	90912	60408	58787	58787	174	1141	63	92	44	38	246	13108	2368	1493	4	5	0	10	6	131	513	432	7	39	7	38660	7	199
StNiniansIsle15929 	3025734	53822	36400	34686	34686	511	5239	100	190	24	72	287	485	145	765	2	6	2	128	3	86	736	362	5	95	3	24940	6	494
Yorkshire8890 	1619302	3155	1446	1336	1336	12	42	6	5	5	3	93	5	5	4	3	5	3	4	5	360	602	104	3	4	5	45	2	11
Yorkshire8892 	1220038	131696	97710	82898	82898	178	1724	44	139	47	46	232	11453	1033	1974	2	5	0	2	0	144	604	87	6	34	2	64856	17	269
Yorkshire8893 	4882002	369630	219312	208670	208670	533	5405	160	255	160	158	580	118007	13039	5444	12	44	10	24	17	542	931	148	36	148	19	62593	25	380
Yorkshire8895 	3724868	550609	350465	315482	315482	851	8719	128	423	240	216	687	109047	14093	7455	15	48	16	38	28	605	872	295	43	102	42	170696	62	761
